Date,Year,Month,Month Name,Quarter,Day,Day Name,Week,Is Weekend
2019/04/03,2019,4,Apr,Q2,3,Wednesday,14,FALSE
2019/04/04,2019,4,Apr,Q2,4,Thursday,14,FALSE
2019/04/05,2019,4,Apr,Q2,5,Friday,14,FALSE
2019/04/06,2019,4,Apr,Q2,6,Saturday,14,TRUE
2019/04/07,2019,4,Apr,Q2,7,Sunday,15,TRUE
2019/04/08,2019,4,Apr,Q2,8,Monday,15,FALSE
2019/04/09,2019,4,Apr,Q2,9,Tuesday,15,FALSE
2019/04/10,2019,4,Apr,Q2,10,Wednesday,15,FALSE
2019/04/11,2019,4,Apr,Q2,11,Thursday,15,FALSE
2019/04/12,2019,4,Apr,Q2,12,Friday,15,FALSE
2019/04/13,2019,4,Apr,Q2,13,Saturday,15,TRUE
2019/04/14,2019,4,Apr,Q2,14,Sunday,16,TRUE
2019/04/15,2019,4,Apr,Q2,15,Monday,16,FALSE
2019/04/16,2019,4,Apr,Q2,16,Tuesday,16,FALSE
2019/04/17,2019,4,Apr,Q2,17,Wednesday,16,FALSE
2019/04/18,2019,4,Apr,Q2,18,Thursday,16,FALSE
2019/04/19,2019,4,Apr,Q2,19,Friday,16,FALSE
2019/04/20,2019,4,Apr,Q2,20,Saturday,16,TRUE
2019/04/21,2019,4,Apr,Q2,21,Sunday,17,TRUE
2019/04/22,2019,4,Apr,Q2,22,Monday,17,FALSE
2019/04/23,2019,4,Apr,Q2,23,Tuesday,17,FALSE
2019/04/24,2019,4,Apr,Q2,24,Wednesday,17,FALSE
2019/04/25,2019,4,Apr,Q2,25,Thursday,17,FALSE
2019/04/26,2019,4,Apr,Q2,26,Friday,17,FALSE
2019/04/27,2019,4,Apr,Q2,27,Saturday,17,TRUE
2019/04/28,2019,4,Apr,Q2,28,Sunday,18,TRUE
2019/04/29,2019,4,Apr,Q2,29,Monday,18,FALSE
2019/04/30,2019,4,Apr,Q2,30,Tuesday,18,FALSE
2019/05/01,2019,5,May,Q2,1,Wednesday,18,FALSE
2019/05/02,2019,5,May,Q2,2,Thursday,18,FALSE
2019/05/03,2019,5,May,Q2,3,Friday,18,FALSE
2019/05/04,2019,5,May,Q2,4,Saturday,18,TRUE
2019/05/05,2019,5,May,Q2,5,Sunday,19,TRUE
2019/05/06,2019,5,May,Q2,6,Monday,19,FALSE
2019/05/07,2019,5,May,Q2,7,Tuesday,19,FALSE
2019/05/08,2019,5,May,Q2,8,Wednesday,19,FALSE
2019/05/09,2019,5,May,Q2,9,Thursday,19,FALSE
2019/05/10,2019,5,May,Q2,10,Friday,19,FALSE
2019/05/11,2019,5,May,Q2,11,Saturday,19,TRUE
2019/05/12,2019,5,May,Q2,12,Sunday,20,TRUE
2019/05/13,2019,5,May,Q2,13,Monday,20,FALSE
2019/05/14,2019,5,May,Q2,14,Tuesday,20,FALSE
2019/05/15,2019,5,May,Q2,15,Wednesday,20,FALSE
2019/05/16,2019,5,May,Q2,16,Thursday,20,FALSE
2019/05/17,2019,5,May,Q2,17,Friday,20,FALSE
2019/05/18,2019,5,May,Q2,18,Saturday,20,TRUE
2019/05/19,2019,5,May,Q2,19,Sunday,21,TRUE
2019/05/20,2019,5,May,Q2,20,Monday,21,FALSE
2019/05/21,2019,5,May,Q2,21,Tuesday,21,FALSE
2019/05/22,2019,5,May,Q2,22,Wednesday,21,FALSE
2019/05/23,2019,5,May,Q2,23,Thursday,21,FALSE
2019/05/24,2019,5,May,Q2,24,Friday,21,FALSE
2019/05/25,2019,5,May,Q2,25,Saturday,21,TRUE
2019/05/26,2019,5,May,Q2,26,Sunday,22,TRUE
2019/05/27,2019,5,May,Q2,27,Monday,22,FALSE
2019/05/28,2019,5,May,Q2,28,Tuesday,22,FALSE
2019/05/29,2019,5,May,Q2,29,Wednesday,22,FALSE
2019/05/30,2019,5,May,Q2,30,Thursday,22,FALSE
2019/05/31,2019,5,May,Q2,31,Friday,22,FALSE
2019/06/01,2019,6,Jun,Q2,1,Saturday,22,TRUE
2019/06/02,2019,6,Jun,Q2,2,Sunday,23,TRUE
2019/06/03,2019,6,Jun,Q2,3,Monday,23,FALSE
2019/06/04,2019,6,Jun,Q2,4,Tuesday,23,FALSE
2019/06/05,2019,6,Jun,Q2,5,Wednesday,23,FALSE
2019/06/06,2019,6,Jun,Q2,6,Thursday,23,FALSE
2019/06/07,2019,6,Jun,Q2,7,Friday,23,FALSE
2019/06/08,2019,6,Jun,Q2,8,Saturday,23,TRUE
2019/06/09,2019,6,Jun,Q2,9,Sunday,24,TRUE
2019/06/10,2019,6,Jun,Q2,10,Monday,24,FALSE
2019/06/11,2019,6,Jun,Q2,11,Tuesday,24,FALSE
2019/06/12,2019,6,Jun,Q2,12,Wednesday,24,FALSE
2019/06/13,2019,6,Jun,Q2,13,Thursday,24,FALSE
2019/06/14,2019,6,Jun,Q2,14,Friday,24,FALSE
2019/06/15,2019,6,Jun,Q2,15,Saturday,24,TRUE
2019/06/16,2019,6,Jun,Q2,16,Sunday,25,TRUE
2019/06/17,2019,6,Jun,Q2,17,Monday,25,FALSE
2019/06/18,2019,6,Jun,Q2,18,Tuesday,25,FALSE
2019/06/19,2019,6,Jun,Q2,19,Wednesday,25,FALSE
2019/06/20,2019,6,Jun,Q2,20,Thursday,25,FALSE
2019/06/21,2019,6,Jun,Q2,21,Friday,25,FALSE
2019/06/22,2019,6,Jun,Q2,22,Saturday,25,TRUE
2019/06/23,2019,6,Jun,Q2,23,Sunday,26,TRUE
2019/06/24,2019,6,Jun,Q2,24,Monday,26,FALSE
2019/06/25,2019,6,Jun,Q2,25,Tuesday,26,FALSE
2019/06/26,2019,6,Jun,Q2,26,Wednesday,26,FALSE
2019/06/27,2019,6,Jun,Q2,27,Thursday,26,FALSE
2019/06/28,2019,6,Jun,Q2,28,Friday,26,FALSE
2019/06/29,2019,6,Jun,Q2,29,Saturday,26,TRUE
2019/06/30,2019,6,Jun,Q2,30,Sunday,27,TRUE
2019/07/01,2019,7,Jul,Q3,1,Monday,27,FALSE
2019/07/02,2019,7,Jul,Q3,2,Tuesday,27,FALSE
2019/07/03,2019,7,Jul,Q3,3,Wednesday,27,FALSE
2019/07/04,2019,7,Jul,Q3,4,Thursday,27,FALSE
2019/07/05,2019,7,Jul,Q3,5,Friday,27,FALSE
2019/07/06,2019,7,Jul,Q3,6,Saturday,27,TRUE
2019/07/07,2019,7,Jul,Q3,7,Sunday,28,TRUE
2019/07/08,2019,7,Jul,Q3,8,Monday,28,FALSE
2019/07/09,2019,7,Jul,Q3,9,Tuesday,28,FALSE
2019/07/10,2019,7,Jul,Q3,10,Wednesday,28,FALSE
2019/07/11,2019,7,Jul,Q3,11,Thursday,28,FALSE
2019/07/12,2019,7,Jul,Q3,12,Friday,28,FALSE
2019/07/13,2019,7,Jul,Q3,13,Saturday,28,TRUE
